year   day  hour  min   field
2018   1  9 29    0.68
2018   1  9 30    0.63
2018   1  9 31    0.43
2018   1  9 32    0.53
2018   1  9 33    0.81
2018   1  9 34    0.12
2018   1  9 35   -0.06
2018   1  9 36    0.44
2018   1  9 37    0.36
2018   1  9 38    0.21
2018   1  9 39    0.27
2018   1  9 40    0.48
2018   1  9 41    0.56
2018   1  9 42    0.41
2018   1  9 43    0.41
2018   1  9 44    0.27
2018   1  9 45    0.12
2018   1  9 46   -0.06
2018   1  9 47    0.00
2018   1  9 48    0.14
2018   1  9 49    0.19
2018   1  9 50    0.28
2018   1  9 51    0.62
2018   1  9 52    0.02
2018   1  9 53    0.14
2018   1  9 54   -0.20
2018   1  9 55   -0.79
2018   1  9 56   -0.73
2018   1  9 57   -0.91
2018   1  9 58   -0.76
2018   1  9 59   -0.77
2018   1 10  0   -1.19
2018   1 10  1   -0.92
2018   1 10  2   -1.77
2018   1 10  3   -1.91
2018   1 10  4   -2.09
2018   1 10  5   -2.87
2018   1 10  6   -2.71
2018   1 10  7   -3.01
2018   1 10  8   -3.45
2018   1 10  9   -3.98
2018   1 10 10    0.28
2018   1 10 11    2.21
2018   1 10 12    2.26
2018   1 10 13    2.80
2018   1 10 14    0.67
2018   1 10 15    0.21
2018   1 10 16    0.97
2018   1 10 17   -0.48
2018   1 10 18   -1.74
2018   1 10 19   -0.96
2018   1 10 20   -0.63
2018   1 10 21   -1.06
2018   1 10 22   -0.73
2018   1 10 23   -0.54
2018   1 10 24   -0.69
2018   1 10 25   -0.40
2018   1 10 26   -0.21
2018   1 10 27   -3.48
2018   1 10 28   -3.22
2018   1 10 29   -4.37
2018   1 10 30   -4.02
2018   1 10 31   -4.20
2018   1 10 32   -3.58
2018   1 10 33   -3.18
2018   1 10 34   -2.53
2018   1 10 35   -1.28
2018   1 10 36   -1.94
2018   1 10 37   -2.10
2018   1 10 38   -3.20
2018   1 10 39   -2.43
2018   1 10 40   -2.18
2018   1 10 41   -2.08
2018   1 10 42   -2.00
2018   1 10 43   -2.38
2018   1 10 44   -3.10
2018   1 10 45   -2.55
2018   1 10 46   -2.13
2018   1 10 47   -2.43
2018   1 10 48   -1.94
2018   1 10 49   -1.71
2018   1 10 50   -1.40
2018   1 10 51   -1.56
2018   1 10 52   -1.50
2018   1 10 53   -1.49
2018   1 10 54   -1.85
2018   1 10 55   -1.96
2018   1 10 56   -0.68
2018   1 10 57   -2.05
2018   1 10 58   -1.78
2018   1 10 59   -2.05
2018   1 11  0   -2.49
2018   1 11  1   -1.43
2018   1 11  2   -1.51
2018   1 11  3   -0.72
2018   1 11  4   -1.58
2018   1 11  5   -0.46
2018   1 11  6   -0.67
2018   1 11  7   -1.10
2018   1 11  8   -1.58
2018   1 11  9   -1.82
2018   1 11 10   -2.04
2018   1 11 11   -2.08
2018   1 11 12   -2.00
2018   1 11 13   -1.91
2018   1 11 14   -2.42
2018   1 11 15   -1.92
2018   1 11 16   -2.38
2018   1 11 17   -1.65
2018   1 11 18   -0.89
2018   1 11 19    0.15
2018   1 11 20    0.31
2018   1 11 21   -0.22
2018   1 11 22   -1.49
2018   1 11 23   -2.87
2018   1 11 24   -3.14
2018   1 11 25   -3.27
2018   1 11 26   -3.40
2018   1 11 27   -3.21
2018   1 11 28   -3.24
2018   1 11 29   -3.41
2018   1 11 30   -3.63
2018   1 11 31   -3.48
2018   1 11 32   -4.06
2018   1 11 33   -4.09
2018   1 11 34   -3.71
2018   1 11 35   -3.09
2018   1 11 36   -3.74
2018   1 11 37   -3.25
2018   1 11 38   -2.64
2018   1 11 39   -2.43
2018   1 11 40   -2.85
2018   1 11 41   -2.64
2018   1 11 42   -2.54
2018   1 11 43   -2.49
2018   1 11 44   -2.05
2018   1 11 45   -1.93
2018   1 11 46   -1.85
2018   1 11 47   -1.16
2018   1 11 48   -1.05
2018   1 11 49   -1.56
2018   1 11 50   -1.65
2018   1 11 51   -0.71
2018   1 11 52   -0.71
2018   1 11 53   -0.38
2018   1 11 54   -0.81
2018   1 11 55   -0.41
2018   1 11 56   -0.76
